Temperature,n_H,Metallicity,Value
5.116912428623907,1.933390112329195,-0.8569290067551834,7.5827e-19
5.166278242256778,-3.9676869153587577,-0.31022324680814883,1.9146e-32
5.186094730866355,2.3296939913524106,-0.16225109515227906,1.5766e-17
5.186712479930379,-0.03809767622917427,-0.7122026734877395,8.9476e-23
5.2419228988997135,3.7248663822135804,-1.4290063177368768,1.195e-15
5.251979004074601,-2.5359079680683183,-1.373248420735764,3.4505e-29
5.3066264562655325,0.3064768083931342,-1.8139017340140469,1.0635e-22
5.326730141354899,2.6878011405036317,-1.533306866718596,7.6581e-18
5.332336094737887,-2.6687259983160914,-1.996271608011831,1.7658e-29
5.338189739496686,-0.9896386485511077,-0.7823019588996238,4.1742e-25
5.366478975444926,-0.7526769417120235,-1.6616374056074439,6.0239e-25
5.379701241339857,-0.8942519943498299,-1.4134629570212571,3.2958e-25
5.390271682426014,-1.3367857923145985,-1.9205973372068539,2.7147e-26
5.473091135710661,2.548917091009802,-1.9345109675735177,1.9435e-18
5.4766737206090035,1.5175748051186528,-1.9289357320758898,1.6633e-20
5.493022486758497,1.383417070651903,-0.20148425951919124,1.3516e-19
5.5113757932301155,-2.5526440700722537,-0.07269628053215352,5.9078e-29
5.519173919720432,3.4101080071546566,-0.2503085176760177,1.1718e-15
5.522348107496514,2.5867314680742703,-0.03837977424245641,4.1383e-17
5.583794897104934,0.15877593094476342,-1.943069937155846,2.1796e-23
5.5919632623545334,-0.2740293947385975,-0.8410902646824966,9.7987e-24
5.593300806336592,2.7107131969637,-1.750010509781462,3.089e-18
5.6158901213548225,3.5390172470729606,-1.0757510363738345,2.8837e-16
5.7467055108139595,-1.2925974421408197,-0.14328866403756554,1.9058e-25
5.8853853212126985,-1.3589652021358112,-0.27750198302509627,1.0681e-25
5.91601248873796,3.3585512040962464,-1.0858065909282584,8.4578e-17
5.920368535598132,-0.25911891057493097,-0.41050173461841377,1.6978e-23
5.931680825267705,-2.0330860350977646,-1.9095586809678877,4.23e-28
5.957684906322931,2.0833032274338206,-0.7688357861023007,4.1163e-19
5.960114626665867,-2.665218666156511,-0.061444276242447644,4.0375e-29
5.972072984173501,1.1247011563754412,-0.9534399996963447,3.5525e-21
2.0517378660897996,-3.2701407943589533,-1.7471229794540577,7.8744e-33
2.0695412535199083,-0.4086464478158671,-0.09451482694577917,1.4211e-25
2.692107992150603,-2.283415067110673,-0.18002341855470894,1.8821e-29
2.867605717371732,-0.328427046012739,-0.8070060934784808,1.4773e-25
3.3654186804554995,-3.6972919292537245,-1.510715695134394,5.5235e-33
3.645656564993441,-0.0746223710410332,-0.5565058049651399,8.6073e-25
3.681778509660039,2.899902515982193,-1.033485231661085,5.1919e-20
3.688028076993054,-0.7725863459980653,-1.7412314936343547,8.4545e-27
3.7261456934198427,-3.7557448940153035,-0.024409493295652673,9.3399e-33
4.2587103267188935,1.8972459021247108,-1.8704279602722573,5.446e-19
4.394752190396506,-3.872641219319866,-1.172406976072186,9.2529e-33
4.4921083276926606,2.663237608429692,-1.0500881641806108,1.2e-17
4.860699263549666,-0.5106339210621842,-1.9704619378812314,1.9019e-24
4.911629329946013,-3.543731943701398,-1.3053635168242874,8.7563e-32
5.0801963265090855,0.06456261644450567,-0.09384036715404331,4.545e-22
5.181964932394367,-0.9204025633296382,-0.7712021382856256,7.7801e-25
5.597836377361542,1.2237888932547287,-0.07250119190034843,5.069e-20
5.735297917737174,0.8521745323689727,-0.2392487021832903,5.4069e-21
5.77858378799547,2.6513609056391454,-0.10329228302120153,2.7161e-17
5.8810060948418075,-3.7035281445635118,-1.7956431912835933,1.3489e-31
2.0001218833862415,-1.6517904677394957,-1.9238849169750611,1.3592e-29
2.0002285050293116,1.8420662740857185,-0.13635343227063026,2.046e-22
2.0003709179170954,1.5088770579301691,-1.2297980167237648,9.5182e-24
2.0007984916969725,3.196605287691014,-0.9759174703632074,1.3789e-21
2.001442662578195,1.4367714422634046,-1.8101547025464693,3.8848e-24
2.0018774392538643,3.149480689429675,-0.43065491722013205,3.7279e-21
2.0029115456693773,-0.43525619458620346,-0.007388775252847472,1.268e-25
2.0036691230349137,2.2690744376638303,-1.9817188482201358,3.3044e-23
2.006433780059364,-1.0470175822721748,-1.805384433742978,2.8838e-28
2.014512443853074,0.03130866904129226,-0.21096159532193923,5.3894e-25
2.0157636282314635,-1.249035037939676,-1.93076547569785,1.0006e-28
2.037100392407506,-2.1435846068582474,-0.0005273322586712204,5.194e-30
2.0430180858302047,-1.065652175084663,-0.011677789471391238,7.755e-27
